BLINK_N,BLINK_D_Min,BLINK_D_Max,BLINK_D_Mean,BLINK_D_Sum,BLINK_D_RATE,FIX_N,FIX_Min,FIX_Max,FIX_Mean,FIX_Sum,FIX_RATE,PanelUpperTriangul,PanelUnderTriangul,PanelCorrectOrder,TileUpperTriangul,TileUnderTriangul,TileCorrectOrder,FrameCount,Time,PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,GazeMove_L,HM_Min,HM_Max,HM_Mean,VGC_Min,VGC_Max,VGC_Mean,Page,IsDifficult
14.0,0.022222222222222223,6.766666666666667,2.1023809523809525,29.433333333333334,0.854240567558852,36.0,0.022222222222222223,3.2222222222222223,0.7425925925925926,26.733333333333334,0.7758787487907127,2.5,2.3333333333333335,1.6666666666666667,4.0,4.0,3.0,3101,34.455555555555556,1.4476673333333323,3.4101764999999986,2.944768122130929,91586.11977445605,39.63885265606205,2474.144891437161,1103.5175859288806,-365.03293080393183,2.5744271424433243,0.7741264155402238,2,False
11.0,0.5888888888888889,5.688888888888889,2.71010101010101,29.81111111111111,0.9156996587030717,24.0,0.1,3.8222222222222224,1.0958333333333334,26.3,0.8078498293515358,1.5,1.25,1.5,2.5,2.5,1.5,2930,32.55555555555556,1.5383733333333325,3.750788499999999,3.008922962574456,80371.707124443,114.79258692805826,2474.9676953579806,1244.6700481034707,-124.0821835329036,2.6753425527682,1.250281462869697,3,False
7.0,0.7888888888888889,9.38888888888889,3.4365079365079363,24.055555555555557,0.9533245266402466,21.0,0.03333333333333333,7.1,1.044973544973545,21.944444444444443,0.8696609423161602,1.6,1.2,1.4,2.75,2.5,2.25,2271,25.233333333333334,0.981577499999999,4.018211499999999,3.069796136370685,55383.99958161132,4.694324584866576,2400.738973988537,1092.4404646048627,-176.2881693872364,2.678244542896142,1.1921222446897,4,False
5.0,0.36666666666666664,6.822222222222222,3.6266666666666665,18.133333333333333,0.8760064412238325,10.0,0.16666666666666666,6.788888888888889,1.7522222222222221,17.522222222222222,0.846484165324745,0.75,0.5,0.375,2.25,2.25,1.75,1863,20.7,2.3458048333333323,3.3247605,2.8941006829443134,24507.528713022242,67.22452980676302,1423.6846135643095,807.5745701558752,-31.67176084083931,2.5181351314650224,1.366001073998285,6,False
5.0,1.488888888888889,8.588888888888889,4.828888888888889,24.144444444444446,0.9757521329142343,19.0,0.18888888888888888,5.5,1.1760233918128655,22.344444444444445,0.9030085316569376,0.8333333333333334,0.6666666666666666,0.3333333333333333,2.75,2.75,1.75,2227,24.744444444444444,1.6737491666666662,3.6027351666666667,3.0694163051401855,97497.93426198265,37.17987596594609,1463.308825932781,816.7839158347457,-166.25797151628944,2.628172922287481,1.5404082949513123,7,False
5.0,1.3444444444444446,9.8,3.6488888888888886,18.244444444444444,0.9681603773584906,20.0,0.022222222222222223,2.522222222222222,0.8466666666666667,16.933333333333334,0.8985849056603774,1.25,1.25,1.0,1.25,1.5,1.0,1696,18.844444444444445,1.0133388333333329,3.4432701666666663,2.991328761466011,45068.35953779264,54.04394454342075,1891.771649450372,882.0988374951942,-558.0470166027172,2.6836189312317464,1.2472013646855078,8,False
4.0,0.4444444444444444,6.355555555555555,2.9805555555555556,11.922222222222222,0.9163108454312553,17.0,0.03333333333333333,2.6777777777777776,0.6261437908496732,10.644444444444444,0.8181041844577285,0.6,0.2,0.4,1.75,2.25,0.75,1171,13.011111111111111,1.0623499999999997,3.8945566666666656,3.1032538713872837,48018.259509060736,5.097951524560059,987.0250860507552,470.0411293335656,-129.83182960123222,2.8302480489185204,1.4169122502160634,9,False
9.0,0.08888888888888889,6.344444444444444,2.154320987654321,19.38888888888889,0.8953309389430477,22.0,0.03333333333333333,4.4,0.8363636363636363,18.4,0.849666495638789,1.4,1.2,1.2,2.25,2.25,2.0,1949,21.655555555555555,2.334365833333333,3.358372999999999,2.963021610233916,54741.85451744177,1.1678603422615563,1754.6149094895493,812.7584483114731,-71.24945525031809,2.7202115663565607,1.5043218682889727,10,False
15.0,0.03333333333333333,4.633333333333334,1.2385185185185186,18.57777777777778,0.8614116434827409,27.0,0.022222222222222223,2.7555555555555555,0.6460905349794238,17.444444444444443,0.8088614116434826,1.6,2.0,0.6,3.25,2.75,2.5,1941,21.566666666666666,2.587264833333333,3.568779,2.9840497083837203,37585.28222188358,68.38417474437742,1409.83834935677,727.0060930119928,-49.44487914062274,2.6415499155734734,1.4207729500356527,11,False
12.0,0.03333333333333333,10.755555555555556,2.598148148148148,31.177777777777777,0.8913595933926303,31.0,0.03333333333333333,7.233333333333333,0.9534050179211471,29.555555555555557,0.8449809402795425,1.7142857142857142,1.2857142857142858,1.1428571428571428,2.0,2.25,1.75,3148,34.977777777777774,0.7691956666666665,3.3049928333333334,2.821319249516906,78016.7652480519,95.70160814319829,4350.00436828985,1713.361499831187,-102.25783963370715,2.78852262380959,1.4801786440512639,12,False
11.0,0.03333333333333333,6.066666666666666,1.5454545454545454,17.0,0.7766497461928934,26.0,0.03333333333333333,2.7777777777777777,0.6247863247863248,16.244444444444444,0.7421319796954314,1.0,0.3333333333333333,0.6666666666666666,2.25,2.25,2.25,1970,21.88888888888889,2.512932166666667,3.3637185,2.9118120947019897,43167.05533824356,64.67525117956399,2278.7500346499432,1068.1022167947633,-125.14740336472975,2.6417793894993262,1.2864620608354582,13,False
9.0,0.03333333333333333,17.322222222222223,2.8654320987654325,25.788888888888888,0.7550422901756669,32.0,0.03333333333333333,3.1555555555555554,0.7256944444444444,23.22222222222222,0.6798959011060507,0.5,0.5,0.5,2.5,2.75,2.25,3074,34.15555555555556,2.443649333333333,3.605563,2.95399395729214,95085.7459056155,79.9199493683354,3724.257413008936,853.6747470484856,-675.9989206263319,2.516159146356401,0.7518790326427429,14,True
