BLINK_N,BLINK_D_Min,BLINK_D_Max,BLINK_D_Mean,BLINK_D_Sum,BLINK_D_RATE,FIX_N,FIX_Min,FIX_Max,FIX_Mean,FIX_Sum,FIX_RATE,PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,IsDifficult,IsUnderstand,GazeMove_L,HM_Min,HM_Max,HM_Mean,DiffCrossPos_Min,DiffCrossPos_Max,DiffCrossPos_Mean,Page,Panel
1.0,1.0,1.0,1.0,1.0,1.0,2.0,16.0,22.0,19.0,38.0,0.4222222222222222,2.362604833333325,3.160848333333325,2.6233769975845322,False,False,1713.0997127735077,0.153611490012602,0.5696409318306278,0.2522787588624666,-40.95657156689502,2.488639356257408,0.8453893999102323,2,5
1.0,1.0,1.0,1.0,1.0,1.0,3.0,10.0,16.0,14.0,42.0,0.4666666666666667,2.2853266666666614,2.683771666666658,2.3916294759259182,False,False,2014.6766528080636,0.09983554225691443,0.5696409318306278,0.1945062536327189,0.5085034103638035,2.5295357958661238,1.7620410396944977,2,2
1.0,1.0,1.0,1.0,1.0,1.0,3.0,10.0,33.0,22.0,66.0,0.7333333333333333,2.2853266666666614,2.4435323333333274,2.3410991944444386,False,False,1283.0111045765723,0.09983554225691443,0.5751987045387713,0.3131341945017664,0.5085034103638035,2.5295357958661238,1.998428555402989,2,1
1.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,40.0,27.0,81.0,0.9,2.2896373333333275,2.560170499999995,2.438383814814809,False,False,1077.123600596717,0.16630265157664062,1.0,0.6379633939437124,-3.8583544542467485,2.4781132270445347,1.8398078469644248,2,1
1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,79.0,43.0,86.0,0.9555555555555556,2.423044999999994,2.560170499999995,2.5039810518518473,False,False,517.3527318719368,0.22197734695329485,1.0,0.9248001448928294,-3.8583544542467485,2.2993625129633184,1.784785618301182,2,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.0,88.0,88.0,88.0,0.9777777777777777,2.448656499999994,2.689132833333326,2.5600023629629556,False,False,421.3062806062049,0.4183550928586111,0.9999721401443588,0.9748529075357625,1.0828124736987155,2.3040078366704573,1.7859318951920842,2,2
1.0,1.0,1.0,1.0,1.0,1.0,3.0,16.0,43.0,26.666666666666668,80.0,0.8888888888888888,2.5072353333333264,2.689132833333326,2.5999280444444377,False,False,692.3234612951558,0.15009034678137367,0.9916841117532256,0.7227605677486598,-6.270953484131064,2.4750370308978424,0.3838468186550167,2,2
1.0,1.0,1.0,1.0,1.0,1.0,3.0,12.0,47.0,25.0,75.0,0.8333333333333334,2.489392666666662,2.6918894999999936,2.558276088888883,False,False,955.9308432935266,0.11504983795471126,0.9795885051114162,0.39865551969782415,-338.5320000481725,2.4750370308978424,-4.068404824986268,2,2
1.0,1.0,1.0,1.0,1.0,1.0,2.0,26.0,57.0,41.5,83.0,0.9222222222222223,2.489392666666662,2.7067973333333266,2.6002528999999934,False,False,791.3805789696497,0.11504983795471126,0.9999071286080364,0.7081482188362829,-338.5320000481725,2.165238247352134,-3.346928456092368,2,2
1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,55.0,27.0,81.0,0.9,2.54721066666666,2.7067973333333266,2.639121411111104,False,False,689.6558228078638,0.2443120514634649,0.9999071286080364,0.758654236604018,-232.9545223185959,2.340102153757599,-1.7632269308844983,2,-1
1.0,1.0,1.0,1.0,1.0,1.0,4.0,10.0,24.0,18.25,73.0,0.8111111111111111,2.389536499999996,2.6906763333333266,2.5984559518518453,False,False,1265.2010789578421,0.2443120514634649,0.980232002165947,0.5205962104092597,-232.9545223185959,2.340102153757599,-1.5996349136894525,2,-1
2.0,0.34444444444444444,0.5333333333333333,0.4388888888888889,0.8777777777777778,0.8777777777777778,4.0,5.0,32.0,18.75,75.0,0.8333333333333334,1.9109701666666608,2.647374499999994,2.5254706858974303,False,False,1194.870626136637,0.2550029719444366,0.9454237219885538,0.6555916231776583,-0.3634552790372645,2.332682029567719,1.2771364397153504,2,4
2.0,0.03333333333333333,0.8444444444444444,0.4388888888888889,0.8777777777777778,0.8777777777777778,3.0,10.0,32.0,24.666666666666668,74.0,0.8222222222222222,1.9109701666666608,2.716814666666662,2.583352698717943,False,False,804.124947403354,0.2437885303682319,0.9999774413457506,0.8434323987962556,-8.968749487964873,2.311817618113456,1.2701905202410158,2,4
1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,36.0,19.0,76.0,0.8444444444444444,2.5490573333333297,2.716814666666662,2.6432664537037005,False,False,575.816690677688,0.2437885303682319,0.9999776652935176,0.9178432828203413,-8.968749487964873,2.311817618113456,1.1711677243478897,2,4
